"title","continent","year_of_publication","pro_endpoint","qol_endpoint","physician_endpoint","physiological_endpoint","holter_endpoint","blinding_binary","decade","log_n","treatment_type","physiological_combined"
"Comparison of the efficacy of atenolol and its combination with slow-release nifedipine in chronic stable angina.","North America",1993,1,0,0,1,0,"blinded","1990s",3.3322045101752,"pharmacological",1
"Efficacy of transmyocardial laser revascularization and thoracic sympathectomy for the treatment of refractory angina.","Europe",2004,0,1,1,1,0,"unblinded","2000s",3.04452243772342,"interventional",1
"The RENEW Trial: Efficacy and Safety of Intramyocardial Autologous CD34(+) Cell Administration in Patients With Refractory Angina.","North America",2016,0,0,0,1,0,"blinded","2010-2026",4.72738781871234,"pharmacological",1
"Which drug to choose for stable angina pectoris: a comparative study between bisoprolol and nitrates.","Europe",1995,1,0,0,1,0,"blinded","1990s",3.43398720448515,"pharmacological",1
"Intramyocardial, autologous CD34+ cell therapy for refractory angina.","North America",2011,1,0,0,0,0,"blinded","2010-2026",5.12396397940326,"pharmacological",0
"Transmyocardial laser revascularisation in patients with refractory angina: a randomised controlled trial.","Europe",1999,0,0,0,1,0,"unblinded","1990s",5.24174701505964,"interventional",1
"[Evaluation of the efficacy and tolerance of naftidrofuryl in patients presenting with exertional angina. Multicenter double-blind versus placebo study].","Europe",1999,0,1,0,1,0,"blinded","1990s",3.95124371858143,"pharmacological",1
"Treatment of spontaneous angina pectoris with beta blocking agents. A clinical, electrocardiographic, and haemodynamic appraisal.","Europe",1975,1,0,0,0,1,"blinded","1970s",3.61091791264422,"pharmacological",1
"Combination treatment in stable effort angina using trimetazidine and metoprolol: results of a randomized, double-blind, multicentre study (TRIMPOL II). TRIMetazidine in POLand.","Europe",2001,0,0,0,1,0,"blinded","2000s",5.91079664404053,"pharmacological",1
"Effects of nicorandil on kinetics of oxygen uptake at the onset of exercise in patients with coronary artery disease.","Asia",1995,0,0,0,1,0,"blinded","1990s",2.39789527279837,"pharmacological",1
"Percutaneous transmyocardial laser revascularisation for severe angina: the PACIFIC randomised trial. Potential Class Improvement From Intramyocardial Channels.","North America",2000,0,0,0,1,0,"unblinded","2000s",5.40267738187228,"interventional",1
"The effect of an angiotensin-converting enzyme inhibitor and a K+(ATP) channel opener on warm up angina.","Europe",2005,0,0,0,1,0,"blinded","2000s",3.04452243772342,"pharmacological",1
"The effects on left ventricular performance of verapamil and metoprolol singly and together in exercise-induced angina pectoris.","Europe",1985,0,0,0,1,0,"blinded","1980s",3.13549421592915,"pharmacological",1
